ID,description,longitude,latitude,imgp,imgc,imgo,imgf,imgg,icon
JMq-2,北京市海淀区·北京大学历史学系,116.304935,39.996253,figure/taxa/JMq-2_L2_phylum.png,figure/taxa/JMq-2_L3_class.png,figure/taxa/JMq-2_L4_order.png,figure/taxa/JMq-2_L4_order.png,figure/taxa/JMq-2_L5_family.png,figure/taxa/JMq-2_L6_genus.png
JMq-3,北京市海淀区·北京大学历史学系,116.304602,39.995812,figure/taxa/JMq-3_L2_phylum.png,figure/taxa/JMq-3_L3_class.png,figure/taxa/JMq-3_L4_order.png,figure/taxa/JMq-3_L4_order.png,figure/taxa/JMq-3_L5_family.png,figure/taxa/JMq-3_L6_genus.png
JMq-4,北京市海淀区·北京大学,116.304684,39.99531,figure/taxa/JMq-4_L2_phylum.png,figure/taxa/JMq-4_L3_class.png,figure/taxa/JMq-4_L4_order.png,figure/taxa/JMq-4_L4_order.png,figure/taxa/JMq-4_L5_family.png,figure/taxa/JMq-4_L6_genus.png
JMQS-1,北京市海淀区·北京大学,116.305204,39.997122,figure/taxa/JMQS-1_L2_phylum.png,figure/taxa/JMQS-1_L3_class.png,figure/taxa/JMQS-1_L4_order.png,figure/taxa/JMQS-1_L4_order.png,figure/taxa/JMQS-1_L5_family.png,figure/taxa/JMQS-1_L6_genus.png
JMQS-2,北京市海淀区·北京大学,116.304863,39.99519,figure/taxa/JMQS-2_L2_phylum.png,figure/taxa/JMQS-2_L3_class.png,figure/taxa/JMQS-2_L4_order.png,figure/taxa/JMQS-2_L4_order.png,figure/taxa/JMQS-2_L5_family.png,figure/taxa/JMQS-2_L6_genus.png
S-1,北京市海淀区·北京大学,116.300674,39.995168,figure/taxa/S-1_L2_phylum.png,figure/taxa/S-1_L3_class.png,figure/taxa/S-1_L4_order.png,figure/taxa/S-1_L4_order.png,figure/taxa/S-1_L5_family.png,figure/taxa/S-1_L6_genus.png
S-2,北京市海淀区·北京大学生物技术楼,116.29944,39.995267,figure/taxa/S-2_L2_phylum.png,figure/taxa/S-2_L3_class.png,figure/taxa/S-2_L4_order.png,figure/taxa/S-2_L4_order.png,figure/taxa/S-2_L5_family.png,figure/taxa/S-2_L6_genus.png
WMH-1,北京市海淀区·北京大学,116.304358,39.992688,figure/taxa/WMH-1_L2_phylum.png,figure/taxa/WMH-1_L3_class.png,figure/taxa/WMH-1_L4_order.png,figure/taxa/WMH-1_L4_order.png,figure/taxa/WMH-1_L5_family.png,figure/taxa/WMH-1_L6_genus.png
WMH-10,北京市海淀区·北京大学,116.302013,39.993689,figure/taxa/WMH-10_L2_phylum.png,figure/taxa/WMH-10_L3_class.png,figure/taxa/WMH-10_L4_order.png,figure/taxa/WMH-10_L4_order.png,figure/taxa/WMH-10_L5_family.png,figure/taxa/WMH-10_L6_genus.png
WMH-11,北京市海淀区·北京大学,116.301462,39.993832,figure/taxa/WMH-11_L2_phylum.png,figure/taxa/WMH-11_L3_class.png,figure/taxa/WMH-11_L4_order.png,figure/taxa/WMH-11_L4_order.png,figure/taxa/WMH-11_L5_family.png,figure/taxa/WMH-11_L6_genus.png
WMH-12,北京市海淀区·北京大学办公楼,116.300601,39.993718,figure/taxa/WMH-12_L2_phylum.png,figure/taxa/WMH-12_L3_class.png,figure/taxa/WMH-12_L4_order.png,figure/taxa/WMH-12_L4_order.png,figure/taxa/WMH-12_L5_family.png,figure/taxa/WMH-12_L6_genus.png
WMH-13,北京市海淀区·北京大学办公楼,116.300263,39.994213,figure/taxa/WMH-13_L2_phylum.png,figure/taxa/WMH-13_L3_class.png,figure/taxa/WMH-13_L4_order.png,figure/taxa/WMH-13_L4_order.png,figure/taxa/WMH-13_L5_family.png,figure/taxa/WMH-13_L6_genus.png
WMH-14,北京市海淀区·北京大学,116.300463,39.994678,figure/taxa/WMH-14_L2_phylum.png,figure/taxa/WMH-14_L3_class.png,figure/taxa/WMH-14_L4_order.png,figure/taxa/WMH-14_L4_order.png,figure/taxa/WMH-14_L5_family.png,figure/taxa/WMH-14_L6_genus.png
WMH-15,北京市海淀区·北京大学,116.300806,39.995007,figure/taxa/WMH-15_L2_phylum.png,figure/taxa/WMH-15_L3_class.png,figure/taxa/WMH-15_L4_order.png,figure/taxa/WMH-15_L4_order.png,figure/taxa/WMH-15_L5_family.png,figure/taxa/WMH-15_L6_genus.png
WMH-16,北京市海淀区·北京大学,116.301097,39.995205,figure/taxa/WMH-16_L2_phylum.png,figure/taxa/WMH-16_L3_class.png,figure/taxa/WMH-16_L4_order.png,figure/taxa/WMH-16_L4_order.png,figure/taxa/WMH-16_L5_family.png,figure/taxa/WMH-16_L6_genus.png
WMH-17,北京市海淀区·北京大学生物技术楼,116.299891,39.994902,figure/taxa/WMH-17_L2_phylum.png,figure/taxa/WMH-17_L3_class.png,figure/taxa/WMH-17_L4_order.png,figure/taxa/WMH-17_L4_order.png,figure/taxa/WMH-17_L5_family.png,figure/taxa/WMH-17_L6_genus.png
WMH-18,北京市海淀区·北京大学生物技术楼,116.299329,39.995212,figure/taxa/WMH-18_L2_phylum.png,figure/taxa/WMH-18_L3_class.png,figure/taxa/WMH-18_L4_order.png,figure/taxa/WMH-18_L4_order.png,figure/taxa/WMH-18_L5_family.png,figure/taxa/WMH-18_L6_genus.png
WMH-19,北京市海淀区·北京大学生物技术楼,116.299042,39.99447,figure/taxa/WMH-19_L2_phylum.png,figure/taxa/WMH-19_L3_class.png,figure/taxa/WMH-19_L4_order.png,figure/taxa/WMH-19_L4_order.png,figure/taxa/WMH-19_L5_family.png,figure/taxa/WMH-19_L6_genus.png
WMH-2,北京市海淀区·北京大学,116.305315,39.992659,figure/taxa/WMH-2_L2_phylum.png,figure/taxa/WMH-2_L3_class.png,figure/taxa/WMH-2_L4_order.png,figure/taxa/WMH-2_L4_order.png,figure/taxa/WMH-2_L5_family.png,figure/taxa/WMH-2_L6_genus.png
WMH-20,北京市海淀区·北京大学,116.298587,39.994352,figure/taxa/WMH-20_L2_phylum.png,figure/taxa/WMH-20_L3_class.png,figure/taxa/WMH-20_L4_order.png,figure/taxa/WMH-20_L4_order.png,figure/taxa/WMH-20_L5_family.png,figure/taxa/WMH-20_L6_genus.png
WMH-21,北京市海淀区·北京大学,116.298707,39.993622,figure/taxa/WMH-21_L2_phylum.png,figure/taxa/WMH-21_L3_class.png,figure/taxa/WMH-21_L4_order.png,figure/taxa/WMH-21_L4_order.png,figure/taxa/WMH-21_L5_family.png,figure/taxa/WMH-21_L6_genus.png
WMH-22,北京市海淀区·北京大学,116.299043,39.992399,figure/taxa/WMH-22_L2_phylum.png,figure/taxa/WMH-22_L3_class.png,figure/taxa/WMH-22_L4_order.png,figure/taxa/WMH-22_L4_order.png,figure/taxa/WMH-22_L5_family.png,figure/taxa/WMH-22_L6_genus.png
WMH-23,北京市海淀区·北京大学,116.299593,39.991991,figure/taxa/WMH-23_L2_phylum.png,figure/taxa/WMH-23_L3_class.png,figure/taxa/WMH-23_L4_order.png,figure/taxa/WMH-23_L4_order.png,figure/taxa/WMH-23_L5_family.png,figure/taxa/WMH-23_L6_genus.png
WMH-24,北京市海淀区·北京大学,116.301761,39.991597,figure/taxa/WMH-24_L2_phylum.png,figure/taxa/WMH-24_L3_class.png,figure/taxa/WMH-24_L4_order.png,figure/taxa/WMH-24_L4_order.png,figure/taxa/WMH-24_L5_family.png,figure/taxa/WMH-24_L6_genus.png
